,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
,TOTAL,4275,2896,7171,6768,403,3,,,,,,,,,,,,,,
29,State,URBAN,87656,61395,149051,105982,43069,2108,,,,,,,,,,,,,
,RURAL,130139,85991,216130,213055,3075,393,,,,,,,,,,,,,,
,TOTAL,217795,147386,365181,319037,46144,2501,,,,,,,,,,,,,,
,,70,,,,,,,,,,,,,,,,,,,
"TABLE D-2 2001 : DEATHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,,
,With Population one Lakh and Above,,,,,,,,,,,,,,,,,,,,
,,,,Place of Occurrence of,,,,,,,,,,,,,,,,,
,,Deaths by Place of Residence,,,,,,,,,,,,,,,,,,,
Sl.N,Death,,,,,the Death,,,,,,,,,,,,,,,
District,,,,,,,,,,,,,,,,,,,,,
o.,Rate,,,,,,,,,,,,,,,,,,,,
,,,,Within the,,,Outside the,,,,,,,,,,,,,,
,,Male,Female,Total,Area,Area,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
1,BELGAUM,URBAN,3932,2349,6281,6.17,5908,373,,,,,,,,,,,,,
,RURAL,13800,8829,22629,7.13,20305,2324,,,,,,,,,,,,,,
,TOTAL,17732,11178,28910,6.9,26213,2697,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Belgaum CC,,1625,1031,2656,6.62,2621,35,,,,,,,,,,,,,,
2,BAGALKOT,URBAN,2542,2111,4653,9.65,4126,527,,,,,,,,,,,,,
,RURAL,5153,3655,8808,8.03,7994,814,,,,,,,,,,,,,,
,TOTAL,7695,5766,13461,8.53,12120,1341,,,,,,,,,,,,,,
3,BIJAPUR,URBAN,1948,1190,3138,7.98,2919,219,,,,,,,,,,,,,
,RURAL,5734,3854,9588,6.76,7697,1891,,,,,,,,,,,,,,
,TOTAL,7682,5044,12726,7.03,10616,2110,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Bijapur CMC,,1147,824,1971,7.97,1932,39,,,,,,,,,,,,,,
4,GULBARGA,URBAN,2076,1210,3286,4.03,2983,303,,,,,,,,,,,,,
,RURAL,7863,5906,13769,6.21,13293,476,,,,,,,,,,,,,,
,TOTAL,9939,7116,17055,5.62,16276,779,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Gulbarga CC,,1148,817,1965,4.56,1939,26,,,,,,,,,,,,,,
5,BIDAR,URBAN,839,511,1350,3.88,1288,62,,,,,,,,,,,,,
,RURAL,3579,2841,6420,5.53,6124,296,,,,,,,,,,,,,,
,TOTAL,4418,3352,7770,5.15,7412,358,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Bidar CMC,,432,316,748,4.3,739,9,,,,,,,,,,,,,,
6,RAICHUR,URBAN,2345,1008,3353,8.12,2641,712,,,,,,,,,,,,,
,RURAL,5622,3726,9348,7.96,8854,494,,,,,,,,,,,,,,
,TOTAL,7967,4734,12701,8,11495,1206,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Raichur CMC,,1369,506,1875,9.07,1279,596,,,,,,,,,,,,,,
7,KOPPALA,URBAN,623,193,816,4.35,676,140,,,,,,,,,,,,,
,RURAL,4472,2586,7058,7.46,6531,527,,,,,,,,,,,,,,
,TOTAL,5095,2779,7874,6.94,7207,667,,,,,,,,,,,,,,
8,GADAG,URBAN,1599,1439,3038,8.85,2876,162,,,,,,,,,,,,,
,RURAL,2824,2153,4977,7.88,4347,630,,,,,,,,,,,,,,
,TOTAL,4423,3592,8015,8.22,7223,792,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Gadag-Betigeri CMC,,861,503,1364,8.78,1333,31,,,,,,,,,,,,,,
9,DHARWAD,URBAN,4905,1884,6789,7.66,5378,1411,,,,,,,,,,,,,
,RURAL,4228,2631,6859,9.47,5623,1236,,,,,,,,,,,,,,
,TOTAL,9133,4515,13648,8.47,11001,2647,,,,,,,,,,,,,,
,,71,,,,,,,,,,,,,,,,,,,
,"TABLE D-2 2001 : DEATHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,
,,With Population one Lakh and Above,,,,,,,,,,,,,,,,,,,
,,,,,Place of Occurrence of,,,,,,,,,,,,,,,,
,,,Deaths by Place of Residence,,,,,,,,,,,,,,,,,,
Sl.N,Death,,,,,,the Death,,,,,,,,,,,,,,
,District,,,,,,,,,,,,,,,,,,,,
o.,Rate,,,,,,,,,,,,,,,,,,,,
,,,,,Within the,,,Outside the,,,,,,,,,,,,,
,,,Male,Female,Total,Area,Area,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Hubli-Dharwad CC,,4448,1525,5973,7.57,4624,1349,,,,,,,,,,,,,
10,UTTARA KANNADA,URBAN,1764,1314,3078,7.87,2940,138,,,,,,,,,,,,,
,,RURAL,4282,2754,7036,7.28,6417,619,,,,,,,,,,,,,
,,TOTAL,6046,4068,10114,7.45,9357,757,,,,,,,,,,,,,
11,HAVERI,URBAN,1238,763,2001,6.62,1746,255,,,,,,,,,,,,,
,,RURAL,4663,3164,7827,6.86,7334,493,,,,,,,,,,,,,
,,TOTAL,5901,3927,9828,6.81,9080,748,,,,,,,,,,,,,
12,BELLARY,URBAN,3227,2027,5254,7.38,5067,187,,,,,,,,,,,,,
,,RURAL,6787,4893,11680,8.88,9375,2305,,,,,,,,,,,,,
,,TOTAL,10014,6920,16934,8.35,14442,2492,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Hospet CMC,,857,391,1248,7.57,1202,46,,,,,,,,,,,,,
,Bellary CMC,,1452,1217,2669,8.37,2603,66,,,,,,,,,,,,,
13,CHITRADURGA,URBAN,1556,865,2421,8.78,2156,265,,,,,,,,,,,,,
,,RURAL,5106,3848,8954,7.22,8080,874,,,,,,,,,,,,,
,,TOTAL,6662,4713,11375,7.5,10236,1139,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Chitradurga CMC,,694,341,1035,8.38,941,94,,,,,,,,,,,,,
14,DAVANAGERE,URBAN,2046,2487,4533,9.21,4126,407,,,,,,,,,,,,,
,,RURAL,4541,3236,7777,6.34,6649,1128,,,,,,,,,,,,,
,,TOTAL,6587,5723,12310,7.16,10775,1535,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Davangere CMC,,1052,1785,2837,7.75,2763,74,,,,,,,,,,,,,
15,SHIMOGA,URBAN,2253,1887,4140,7.22,3928,212,,,,,,,,,,,,,
,,RURAL,5461,3320,8781,8.19,6993,1788,,,,,,,,,,,,,
,,TOTAL,7714,5207,12921,7.85,10921,2000,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Shimoga CMC,,1058,652,1710,6.18,1555,155,,,,,,,,,,,,,
,Bhadravathi CMC,,305,406,711,4.36,686,25,,,,,,,,,,,,,
16,UDUPI,URBAN,529,344,873,4.2,739,134,,,,,,,,,,,,,
,,RURAL,5517,3592,9109,10.08,7206,1903,,,,,,,,,,,,,
,,TOTAL,6046,3936,9982,8.98,7945,2037,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Udupi CMC,,131,84,215,1.87,154,61,,,,,,,,,,,,,
17,CHIKMAGALUR,URBAN,1076,695,1771,7.91,1661,110,,,,,,,,,,,,,
,,RURAL,3829,2241,6070,6.82,5033,1037,,,,,,,,,,,,,
,,TOTAL,4905,2936,7841,7.04,6694,1147,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,,,72,,,,,,,,,,,,,,,,,,
,"TABLE D-2 2001 : DEATHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,
,,With Population one Lakh and Above,,,,,,,,,,,,,,,,,,,
,,,,,Place of Occurrence of,,,,,,,,,,,,,,,,
,,,Deaths by Place of Residence,,,,,,,,,,,,,,,,,,
Sl.N,Death,,,,,,the Death,,,,,,,,,,,,,,
,District,,,,,,,,,,,,,,,,,,,,
o.,Rate,,,,,,,,,,,,,,,,,,,,
,,,,,Within the,,,Outside the,,,,,,,,,,,,,
,,,Male,Female,Total,,Area,Area,,,,,,,,,,,,,
1,2,,3,4,5,6,7,8,,,,,,,,,,,,,
,Chickmagalur CMC,,371,198,569,5.58,522,47,,,,,,,,,,,,,
18,TUMKUR,URBAN,2383,1011,3394,6.93,2960,434,,,,,,,,,,,,,
,,RURAL,8023,5928,13951,7.42,13065,886,,,,,,,,,,,,,
,,TOTAL,10406,6939,17345,7.32,16025,1320,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Tumkur CMC,,1353,447,1800,7.16,1632,168,,,,,,,,,,,,,
19,KOLAR,URBAN,2214,1443,3657,5.82,2330,1327,,,,,,,,,,,,,
,,RURAL,6602,4372,10974,5.76,9207,1767,,,,,,,,,,,,,
,,TOTAL,8816,5815,14631,5.78,11537,3094,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Kolar CMC,,572,443,1015,8.9,795,220,,,,,,,,,,,,,
,Robertsonpet CMC,,224,65,289,2.02,285,4,,,,,,,,,,,,,
20,BANGALORE (U),URBAN,18879,15752,34631,5.97,33574,1057,,,,,,,,,,,,,
,,RURAL,4658,3237,7895,10.25,4132,3763,,,,,,,,,,,,,
,,TOTAL,23537,18989,42526,6.47,37706,4820,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Bangalore CC,,17486,14787,32273,7.45,31368,905,,,,,,,,,,,,,
,Dasarahalli CMC,,110,56,166,0.62,166,0,,,,,,,,,,,,,
,Byatarayanapura CMC,,126,113,239,1.31,237,2,,,,,,,,,,,,,
,Krishnarajapura CMC,,256,183,439,2.32,434,5,,,,,,,,,,,,,
,Mahadevapur CMC,,331,220,551,4.03,544,7,,,,,,,,,,,,,
,Bommanahalli CMC,,97,48,145,0.71,135,10,,,,,,,,,,,,,
21,BANGALORE (R),URBAN,1412,859,2271,5.59,2073,198,,,,,,,,,,,,,
,,RURAL,4957,2910,7867,5.4,7359,508,,,,,,,,,,,,,
,,TOTAL,6369,3769,10138,5.44,9432,706,,,,,,,,,,,,,
22,MANDYA,URBAN,1411,706,2117,7.49,1729,388,,,,,,,,,,,,,
,,RURAL,7046,3798,10844,7.32,9682,1162,,,,,,,,,,,,,
,,TOTAL,8457,4504,12961,7.34,11411,1550,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Mandya CMC,,795,427,1222,9.29,958,264,,,,,,,,,,,,,
23,HASSAN,URBAN,1049,844,1893,6.19,1693,200,,,,,,,,,,,,,
,,RURAL,5441,3662,9103,6.41,7980,1123,,,,,,,,,,,,,
,,TOTAL,6490,4506,10996,6.37,9673,1323,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Hassan CMC,,405,469,874,7.45,807,67,,,,,,,,,,,,,
24,DAKSHINA KANNADA,URBAN,2285,1550,3835,5.24,3470,365,,,,,,,,,,,,,
,,RURAL,5931,4175,10106,8.63,7366,2740,,,,,,,,,,,,,
,,TOTAL,8216,5725,13941,7.32,10836,3105,,,,,,,,,,,,,
,Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,
,Mangalore CC,,1700,1143,2843,7.07,2804,39,,,,,,,,,,,,,
,,,73,,,,,,,,,,,,,,,,,,
"TABLE D-2 2001 : DEATHS BY PLACE OF RESIDENCE, DISTRICTS (RURAL & URBAN) AND TOWNS",,,,,,,,,,,,,,,,,,,,,
,With Population one Lakh and Above,,,,,,,,,,,,,,,,,,,,
,,,Place of Occurrence of,,,,,,,,,,,,,,,,,,
,Deaths by Place of Residence,,,,,,,,,,,,,,,,,,,,
Sl.N,Death,,,,the Death,,,,,,,,,,,,,,,,
District,,,,,,,,,,,,,,,,,,,,,
o.,Rate,,,,,,,,,,,,,,,,,,,,
,,,Within the,,,Outside the,,,,,,,,,,,,,,,
,Male,Female,Total,Area,Area,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,,,,,,,,
25,KODAGU,URBAN,229,174,403,5.41,322,81,,,,,,,,,,,,,
RURAL,1313,715,2028,4.3,1438,590,,,,,,,,,,,,,,,
TOTAL,1542,889,2431,4.45,1760,671,,,,,,,,,,,,,,,
26,MYSORE,URBAN,3756,2618,6374,6.55,6035,339,,,,,,,,,,,,,
RURAL,6398,4181,10579,6.37,8841,1738,,,,,,,,,,,,,,,
TOTAL,10154,6799,16953,6.43,14876,2077,,,,,,,,,,,,,,,
Towns with Population one lakh and above,,,,,,,,,,,,,,,,,,,,,
Mysore CC,3038,2153,5191,6.93,5070,121,,,,,,,,,,,,,,,
27,CHAMARAJANAGARA,URBAN,510,198,708,4.75,638,70,,,,,,,,,,,,,
RURAL,3844,2741,6585,8.05,6130,455,,,,,,,,,,,,,,,
TOTAL,4354,2939,7293,7.55,6768,525,,,,,,,,,,,,,,,
28,OTHERS,URBAN,668,486,1154,7.75,0,1154,,,,,,,,,,,,,
RURAL,827,520,1347,1.65,0,1347,,,,,,,,,,,,,,,
TOTAL,1495,1006,2501,2.59,0,2501,,,,,,,,,,,,,,,
29,State,URBAN,69294,47918,117212,6.55,105982,11230,,,,,,,,,,,,,
RURAL,148501,99468,247969,7.22,213055,34914,,,,,,,,,,,,,,,
TOTAL,217795,147386,365181,6.99,319037,46144,,,,,,,,,,,,,,,
,74,,,,,,,,,,,,,,,,,,,,
,TABLE D-3 2001 : TIME GAP IN REGISTRATION OF DEATHS (RURAL & URBAN),,,,,,,,,,,,,,,,,,,,
,,,,RURAL,,,,,,,,,,,,,,,,,
,,Number of Deaths Registration,,,,,,,,,,,,,,,,,,,
,,,Delayed Registration,,,,,,,,,,,,,,,,,,
SL.NO.,DISTRICT,Within,,,,,,,,,,,,,,,,,,,
,Prescribed Time,,,,After 30 days,,,,,,,,,,,,,,,,
,Limit,,Within 30 days,,but Within 1,,After 1 Year,,,,,,,,,,,,,,
,,,,,Year,,,,,,,,,,,,,,,,
Male,,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
1,BELGAUM,11901,7687,117,68,332,179,274,,,,,,,,,,,,,
2,BAGALKOT,4494,3263,38,26,105,55,81,,,,,,,,,,,,,
3,BIJAPUR,4414,3058,19,14,112,50,59,,,,,,,,,,,,,
4,GULBARGA,7250,5487,169,136,215,133,33,,,,,,,,,,,,,
5,BIDAR,3104,2517,182,116,103,95,53,,,,,,,,,,,,,
6,RAICHUR,5004,3371,185,115,145,94,39,,,,,,,,,,,,,
7,KOPPALA,3961,2268,90,49,178,73,21,,,,,,,,,,,,,
8,GADAG,2380,1889,25,17,68,40,51,,,,,,,,,,,,,
9,DHARWAD,3447,2165,56,34,194,79,130,,,,,,,,,,,,,
10,UTTARA KANNADA,3561,2355,41,33,171,70,182,,,,,,,,,,,,,
11,HAVERI,4186,2829,26,22,110,58,113,,,,,,,,,,,,,
12,BELLARY,5183,3873,79,71,139,70,16,,,,,,,,,,,,,
13,CHITRADURGA,4455,3293,88,51,106,55,47,,,,,,,,,,,,,
14,DAVANAGERE,3800,2350,77,58,112,68,204,,,,,,,,,,,,,
15,SHIMOGA,3830,2376,139,60,173,95,266,,,,,,,,,,,,,
16,UDUPI,3946,2693,131,80,189,94,84,,,,,,,,,,,,,
17,CHIKMAGALUR,2871,1782,76,30,113,51,110,,,,,,,,,,,,,
18,TUMKUR,7165,5323,155,125,150,66,115,,,,,,,,,,,,,
19,KOLAR,5393,3451,143,94,230,138,45,,,,,,,,,,,,,
20,BANGALORE (U),2305,1518,66,34,100,57,106,,,,,,,,,,,,,
21,BANGALORE (R),4577,2660,58,43,93,60,102,,,,,,,,,,,,,
22,MANDYA,5909,3172,168,90,190,94,122,,,,,,,,,,,,,
23,HASSAN,4605,2836,127,98,122,69,103,,,,,,,,,,,,,
24,DAKSHINA KANNADA,3966,2869,105,75,191,104,150,,,,,,,,,,,,,
25,KODAGU,858,436,46,9,60,25,26,,,,,,,,,,,,,
26,MYSORE,5139,3357,93,57,117,59,37,,,,,,,,,,,,,
27,CHAMARAJANAGARA,3374,2493,98,55,64,42,13,,,,,,,,,,,,,
28,STATE,121078,81371,2597,1660,3882,2073,2582,,,,,,,,,,,,,
,,,,,,75,,,,,,,,,,,,,,,
,TABLE D-4 2001 : DEATHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,,,,,,,,,,,,,,
,,,,,,,Months,,,,,,,,,,,,,,
Sl.No.,District,Sex,,,,,,,,,,,,,,,,,,,
,,Jan,Feb,Mar,Apr,May,June,July,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,
1,BELGAUM,Male,1503,1384,1450,1396,1457,1420,,,,,,,,,,,,,
,Female,951,816,815,806,891,825,1082,,,,,,,,,,,,,
,Total,2454,2200,2265,2202,2348,2245,2622,,,,,,,,,,,,,
2,BAGALKOT,Male,500,487,650,606,558,502,,,,,,,,,,,,,
,Female,431,429,480,495,496,426,487,,,,,,,,,,,,,
,Total,931,916,1130,1101,1054,928,1008,,,,,,,,,,,,,
3,BIJAPUR,Male,559,577,492,476,669,668,,,,,,,,,,,,,
,Female,367,354,523,439,343,380,384,,,,,,,,,,,,,
,Total,926,931,1015,915,1012,1048,848,,,,,,,,,,,,,
4,GULBARGA,Male,796,778,820,782,741,684,,,,,,,,,,,,,
,Female,553,568,564,543,576,485,529,,,,,,,,,,,,,
,Total,1349,1346,1384,1325,1317,1169,1286,,,,,,,,,,,,,
5,BIDAR,Male,406,303,420,288,319,326,,,,,,,,,,,,,
,Female,277,264,302,212,254,247,247,,,,,,,,,,,,,
,Total,683,567,722,500,573,573,570,,,,,,,,,,,,,
6,RAICHUR,Male,672,581,665,641,764,593,,,,,,,,,,,,,
,Female,383,374,402,361,344,318,349,,,,,,,,,,,,,
,Total,1055,955,1067,1002,1108,911,970,,,,,,,,,,,,,
7,KOPPALA,Male,492,480,473,370,428,532,,,,,,,,,,,,,
,Female,275,227,236,194,188,244,106,,,,,,,,,,,,,
,Total,767,707,709,564,616,776,598,,,,URBAN,,,,,,,,,
8,GADAG,Male,348,375,325,332,427,379,Within,,Number of Deaths Registration,,,,,,,,,,
,Female,296,266,252,261,315,281,336,Prescribed Time,,,Delayed Registration,,,,,,,,,
,Total,644,641,577,593,742,660,733,,,,,,,,,,,,,
,,,,,,76,,,,,,,After 30 days,,,,,,,,
,TABLE D-4 2001 : DEATHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,,Male,Limit,Within 30 days,,but Within 1,,After 1 Year,,,,,,
,,,,,,,Months,,10,,,,Year,,,,,,,,
Sl.No.,District,Sex,,,,,,,86,Female,Male,Female,Male FemaleMale,,,Female,,,,,
,,Jan,Feb,Mar,Apr,May,June,July,30,11,12,13,14,15,16,17,18,,,,
1,2,3,4,5,6,7,8,9,26,4640,2861,160,63,311,199,139,99,,,,
9,DHARWAD,Male,793,836,846,741,705,874,10,2253,1987,87,71,180,201,52,48,,,,
,Female,492,335,330,384,355,328,467,13,2164,1569,108,50,421,188,19,9,,,,
,Total,1285,1171,1176,1125,1060,1202,1168,22,1377,881,143,102,713,335,27,3,,,,
10,UTTARA KANNADA,Male,420,473,495,392,509,476,5,431,295,84,58,419,250,24,13,,,,
,Female,320,317,418,271,295,262,343,22,1726,691,370,204,566,288,55,10,,,,
,Total,740,790,913,663,804,738,840,43,739,261,113,28,255,51,14,4,,,,
11,HAVERI,Male,521,479,439,449,464,412,77,1654,1495,38,24,228,156,69,47,,,,
,Female,312,300,278,257,256,294,317,38,4294,1745,422,216,847,322,98,50,,,,
,Total,833,779,717,706,720,706,782,11,1784,1314,80,60,97,89,60,34,,,,
12,BELLARY,Male,938,883,739,991,796,797,20,1059,595,42,26,110,64,37,16,,,,
,Female,618,569,463,589,505,577,523,29,3785,2383,165,87,374,163,332,192,,,,
,Total,1556,1452,1202,1580,1301,1374,1262,74,1406,791,157,63,234,79,34,27,,,,
13,CHITRADURGA,Male,606,499,517,539,590,584,65,1598,2197,358,656,666,1048,58,67,,,,
,Female,353,291,384,359,376,430,317,14,2088,1756,282,171,744,522,159,120,,,,
,Total,959,790,901,898,966,1014,849,37,1698,943,50,29,100,57,29,28,,,,
14,DAVANAGERE,Male,536,465,537,472,606,467,13,1107,692,168,88,265,163,58,37,,,,
,Female,561,524,590,624,536,584,535,41 19223,1888,895,154,90,400,170,169,48,,,,
,Total,1097,989,1127,1096,1142,1051,1061,38,2016,1420,294,201,612,361,22,17,,,,
15,SHIMOGA,Male,701,624,651,531,678,594,30,16328,578,447,1414,1028,696,587,,,,,
,Female,473,411,451,358,490,416,313,33,1145,810,134,55,433,191,71,36,,,,
,Total,1174,1035,1102,889,1168,1010,832,60,1161,625,225,111,446,156,37,14,,,,
16,UDUPI,Male,545,544,510,320,467,513,5,1037,948,122,145,236,273,39,16,,,,
,Female,328,333,277,261,339,288,280,39,3821,2500,184,141,325,174,82,78,,,,
,Total,873,877,787,581,806,801,865,6,405,322,24,15,30,34,12,14,,,,
17,CHIKMAGALUR,Male,411,464,378,375,420,451,887,4682,3125,82,88,256,173,51,28,,,,
,,,,,,77,,,,389,190,63,20,246,71,28,19,,,,
,TABLE D-4 2001 : DEATHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,,,69570,49619,4687,3309,10928,6806,2471,1661,,,,
,,,,,,,Months,,,,,,,,,,,,,,
Sl.No.,District,Sex,,,,,,,,,,,,,,,,,,,
,,Jan,Feb,Mar,Apr,May,June,July,Aug,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,Total,,,,,,,
,Female,273,271,193,209,282,231,260,1540,Sept,Oct,Nov,Dec,,,,,,,,
,Total,684,735,571,584,702,682,648,1040,11,12,13,14,15,16,,,,,,
18,TUMKUR,Male,796,781,648,635,551,832,2619,1579,1584,1483,1469,1609,17874,,,,,,
,Female,481,500,446,438,496,579,544,521,1107,912,916,1081,11242,,,,,,,
,Total,1277,1281,1094,1073,1047,1411,1324,501,2691,2395,2385,2690,29116,,,,,,,
19,KOLAR,Male,719,674,713,673,686,809,1195,694,693,689,777,613,7290,,,,,,
,Female,445,409,445,415,453,480,427,464,492,487,504,453,5681,,,,,,,
,Total,1164,1083,1158,1088,1139,1289,1124,411,1185,1176,1281,1066,12971,,,,,,,
20,BANGALORE (U),Male,1551,1748,2365,2257,1665,1933,1126,715,777,671,600,648,7316,,,,,,
,Female,1854,1133,1047,1799,1890,1549,1516,757,462,478,476,347,4964,,,,,,,
,Total,3405,2881,3412,4056,3555,3482,3558,660,1239,1149,1076,995,12280,,,,,,,
21,BANGALORE (R),Male,631,516,418,552,585,569,1631,971,936,939,800,923,9927,,,,,,
,Female,293,325,240,279,333,310,311,323,702,716,577,614,7087,,,,,,,
,Total,924,841,658,831,918,879,792,292,1638,1655,1377,1537,17014,,,,,,,
22,MANDYA,Male,715,688,648,657,603,648,712,420,429,431,385,350,4400,,,,,,
,Female,357,297,293,261,332,353,363,621,277,314,342,329,3357,,,,,,,
,Total,1072,985,941,918,935,1001,1020,351,706,745,727,679,7757,,,,,,,
23,HASSAN,Male,477,483,471,444,548,500,1034,683,698,692,742,738,8090,,,,,,
,Female,354,359,394,292,381,437,336,492,458,445,501,509,4795,,,,,,,
,Total,831,842,865,736,929,937,909,226,1156,1137,1243,1247,12885,,,,,,,
24,DAKSHINA KANNADA,Male,755,736,635,721,653,706,634,408,381,563,401,351,5371,,,,,,
,Female,521,449,469,450,480,509,587,397,235,334,270,204,2739,,,,,,,
,Total,1276,1185,1104,1171,1133,1215,1292,379,616,897,671,555,8110,,,,,,,
25,KODAGU,Male,127,107,107,120,107,117,822,443,313,324,426,424,4513,,,,,,
,Female,94,53,78,72,75,84,76,,291,279,354,380,3690,,,,,,,
,,,,,,78,,,,604,603,780,804,8203,,,,,,,
,TABLE D-4 2001 : DEATHS BY SEX AND MONTH OF OCCURRENCE,,,,,,,,,,,,,,,,,,,,
,,,,,,,Months,,,,,,,,,,,,,,
Sl.No.,District,Sex,,,,,,,Aug,,,,,,,,,,,,
,,Jan,Feb,Mar,Apr,May,June,July,10,,,,,Total,,,,,,,
1,2,3,4,5,6,7,8,9,701,Sept,Oct,Nov,Dec,,,,,,,,
,Total,221,160,185,192,182,201,218,328,11,12,13,14,15,16,,,,,,
26,MYSORE,Male,830,857,917,786,870,757,1369,1041,752,766,658,775,9488,,,,,,
,Female,522,492,524,607,532,527,616,497,432,421,414,368,4654,,,,,,,
,Total,1352,1349,1441,1393,1402,1284,1489,351,1184,1187,1072,1143,14142,,,,,,,
27,CHAMARAJANAGARA,Male,369,318,251,343,420,391,877,526,536,527,538,587,5976,,,,,,
,Female,233,204,118,204,225,293,183,465,373,383,304,395,4032,,,,,,,
,Total,602,522,369,547,645,684,410,302,909,910,842,982,10008,,,,,,,
28,STATE TOTAL,Male,17717,17140,17580,16889,17286,17534,797,495,488,509,461,501,5683,,,,,,
,Female,12417,10870,11012,11440,12038,11737,11834,739,295,318,359,360,3648,,,,,,,
,Total,30134,28010,28592,28329,29324,29271,29078,561,783,827,820,861,9331,,,,,,,
79,,,,,,,,,1432,871,716,806,831,966,10073,,,,,,
TABLE D-5 2001 : DEATHS BY TYPE OF ATTENTION AT DEATH (URBAN & RURAL),,,,,,,,,532,574,617,631,623,6850,,,,,,,
,Type of Attention at Death,,,,,,,,416,1290,1423,1462,1589,16923,,,,,,,
Sl.,,Medical,,,,,,,928,512,507,518,624,499,6527,,,,,,
Rural/Urban,,Attention,No Medical,Not,Total,,,,526,362,361,406,324,4379,,,,,,,
No.,Institutional,,,,,,,,464,869,879,1030,823,10906,,,,,,,
,Other than,,Attention,Stated,,,,,1052,588,625,612,762,677,6873,,,,,,
,,Institution,,,,,,,519,531,471,551,502,6473,,,,,,,
1,2,3,4,5,6,7,,,472,1156,1083,1313,1179,13346,,,,,,,
RURAL,57149,22294,63480,73207,216130,,,,1121,649,627,664,682,761,7681,,,,,,
URBAN,,,,,,,,,585,401,441,483,465,5174,,,,,,,
TOWNS WITH ONE LAKH POPULATION AND ABOVE,,,,,,,,,439,1028,1105,1165,1226,12855,,,,,,,
1,Belgaum CC,2364,172,107,1407,4050,,,996,557,608,457,587,534,6227,,,,,,
2,Bijapur CMC,977,709,255,838,2779,,,388,340,353,426,325,3989,,,,,,,
3,Gulbarga CC,1221,147,227,748,2343,,,,948,810,1013,859,10216,,,,,,,
4,Bidar CMC,177,72,54,573,876,,,,478,357,378,312,356,4768,,,,,,
5,Raichur CMC,703,328,398,259,1688,,,,,,,,,,,,,,,
6,Gadag-Betigeri CMC,687,145,455,647,1934,,,,,,,,,,,,,,,
7,Hubli-Dharwad CC,3406,1095,601,1022,6124,,,Aug,,,,,,,,,,,,
8,Hospet CMC,322,392,166,372,1252,,,10,,,,,Total,,,,,,,
9,Bellary CMC,1955,339,535,2058,4887,,,282,Sept,Oct,Nov,Dec,,,,,,,,
10,Chitradurga CMC,674,108,148,374,1304,,,760,11,12,13,14,15,16,,,,,,
11,Davangere CMC,2689,222,111,2063,5085,,,780,217,256,181,202,2857,,,,,,,
